epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
92,31681.8,0.81503,0.73182,1.14286,0.55977,0.6009,0.58318,0.40966,1.26409,1.56984,1.56188,0.000496361,0.000496361,0.000496361
93,32018.7,0.81893,0.73565,1.14546,0.55175,0.62211,0.58179,0.40364,1.25132,1.52314,1.55872,0.000487725,0.000487725,0.000487725
94,32370.7,0.80946,0.72626,1.14078,0.58938,0.57674,0.58112,0.40366,1.25681,1.55684,1.55225,0.000479094,0.000479094,0.000479094
95,32687.2,0.81177,0.73205,1.13989,0.59456,0.56729,0.58528,0.40884,1.25498,1.53446,1.56167,0.000470471,0.000470471,0.000470471
96,33027.9,0.80748,0.72148,1.13575,0.62393,0.55871,0.5889,0.40963,1.25448,1.51563,1.54628,0.000461858,0.000461858,0.000461858
97,33413.7,0.79762,0.71923,1.13963,0.6153,0.57786,0.59266,0.41783,1.24598,1.56305,1.54946,0.000453258,0.000453258,0.000453258
98,33725.1,0.79792,0.69619,1.12876,0.63225,0.57375,0.59297,0.41388,1.25185,1.52878,1.54244,0.000444675,0.000444675,0.000444675
99,34065.5,0.7853,0.68799,1.12411,0.58913,0.58047,0.58274,0.40473,1.24378,1.52343,1.54638,0.000436109,0.000436109,0.000436109
100,34372.4,0.78137,0.67926,1.11734,0.62881,0.55083,0.58396,0.40694,1.25265,1.57276,1.5674,0.000427565,0.000427565,0.000427565
101,34730.1,0.78391,0.68394,1.11963,0.63039,0.57586,0.59629,0.41486,1.25427,1.52243,1.55205,0.000419044,0.000419044,0.000419044
102,35085.8,0.77244,0.66135,1.11024,0.61954,0.57911,0.59125,0.41632,1.25805,1.54391,1.55206,0.00041055,0.00041055,0.00041055
103,35415.3,0.7698,0.67692,1.11851,0.57312,0.6247,0.60103,0.41987,1.26223,1.55382,1.57307,0.000402084,0.000402084,0.000402084
104,35736.6,0.7663,0.66954,1.11401,0.58827,0.60018,0.59473,0.41558,1.25808,1.52463,1.58008,0.000393649,0.000393649,0.000393649
105,36084.5,0.76182,0.65836,1.10927,0.63119,0.56175,0.58999,0.41441,1.25894,1.56431,1.57082,0.000385249,0.000385249,0.000385249
106,36371.8,0.74453,0.63343,1.0994,0.64956,0.57156,0.59766,0.41923,1.26637,1.56162,1.59105,0.000376885,0.000376885,0.000376885
107,36686.2,0.7519,0.64957,1.10433,0.61714,0.57945,0.59773,0.41487,1.26978,1.56765,1.58055,0.00036856,0.00036856,0.00036856
108,37048.3,0.74042,0.63224,1.10268,0.63522,0.5739,0.599,0.41895,1.26421,1.57686,1.57077,0.000360276,0.000360276,0.000360276
109,37410.3,0.74026,0.63023,1.09634,0.62977,0.57019,0.5964,0.42167,1.26104,1.5512,1.57834,0.000352037,0.000352037,0.000352037
110,37772.7,0.73929,0.62692,1.10028,0.62125,0.57734,0.59206,0.41545,1.24827,1.60448,1.56616,0.000343844,0.000343844,0.000343844
111,38097.9,0.72059,0.61913,1.08673,0.61596,0.56329,0.58925,0.415,1.26117,1.60464,1.59366,0.0003357,0.0003357,0.0003357
112,38500.6,0.73192,0.61725,1.09143,0.57556,0.59777,0.59873,0.42091,1.25488,1.60959,1.57099,0.000327608,0.000327608,0.000327608
113,38795.1,0.72534,0.62449,1.09427,0.60269,0.58334,0.58686,0.41134,1.26227,1.61771,1.59062,0.00031957,0.00031957,0.00031957
114,39117.3,0.7206,0.61178,1.08641,0.62662,0.57602,0.59467,0.4209,1.24562,1.5759,1.56992,0.000311588,0.000311588,0.000311588
115,39493.8,0.70687,0.59108,1.07859,0.62455,0.59427,0.60923,0.42656,1.25635,1.5676,1.58263,0.000303665,0.000303665,0.000303665
