epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
71,68235,0.88331,0.6217,0.00877,0.64934,0.57792,0.60982,0.43268,1.2786,1.775,0.01741,0.0020229,0.0006743,0.0020229,0.0006743,0.0020229,0.0006743,0.0020229,0.0006743
72,69200.7,0.88184,0.61311,0.00879,0.69951,0.54398,0.61337,0.43433,1.26749,1.74307,0.01726,0.00199847,0.000666156,0.00199847,0.000666156,0.00199847,0.000666156,0.00199847,0.000666156
73,70154.4,0.86725,0.60832,0.00861,0.63739,0.57371,0.6132,0.43237,1.27777,1.74811,0.01727,0.00197389,0.000657963,0.00197389,0.000657963,0.00197389,0.000657963,0.00197389,0.000657963
74,71121.6,0.8637,0.60513,0.00835,0.66354,0.57799,0.62265,0.44499,1.27234,1.68946,0.01722,0.00194917,0.000649724,0.00194917,0.000649724,0.00194917,0.000649724,0.00194917,0.000649724
75,72081.7,0.87145,0.6017,0.00852,0.61885,0.59962,0.61919,0.44058,1.27192,1.73027,0.01729,0.00192432,0.00064144,0.00192432,0.00064144,0.00192432,0.00064144,0.00192432,0.00064144
76,73040.2,0.86376,0.60018,0.00853,0.68456,0.54769,0.6151,0.43226,1.27525,1.74986,0.01732,0.00189935,0.000633115,0.00189935,0.000633115,0.00189935,0.000633115,0.00189935,0.000633115
77,74022,0.85432,0.58646,0.00847,0.64597,0.58224,0.60941,0.43634,1.27548,1.75718,0.01728,0.00187425,0.000624751,0.00187425,0.000624751,0.00187425,0.000624751,0.00187425,0.000624751
78,74993.6,0.85317,0.5929,0.00842,0.65311,0.55844,0.60068,0.42281,1.27605,1.71627,0.01742,0.00184905,0.000616351,0.00184905,0.000616351,0.00184905,0.000616351,0.00184905,0.000616351
79,75961.4,0.86209,0.58181,0.00821,0.63782,0.58958,0.61612,0.43827,1.2776,1.68817,0.01734,0.00182375,0.000607916,0.00182375,0.000607916,0.00182375,0.000607916,0.00182375,0.000607916
80,76930.2,0.85003,0.58645,0.00858,0.67843,0.57166,0.60516,0.4303,1.25624,1.73498,0.01694,0.00179835,0.00059945,0.00179835,0.00059945,0.00179835,0.00059945,0.00179835,0.00059945
