epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
57,2903.27,1.04327,0.82145,0.0106,0.60764,0.60176,0.60743,0.43231,1.25631,1.54077,0.01711,0.0023454,0.0007818,0.0023454,0.0007818,0.0023454,0.0007818,0.0023454,0.0007818
58,2953.86,1.04615,0.82148,0.01065,0.58162,0.60159,0.61028,0.43232,1.24974,1.56946,0.01698,0.00232379,0.000774596,0.00232379,0.000774596,0.00232379,0.000774596,0.00232379,0.000774596
59,3004.58,1.03842,0.80797,0.0105,0.62317,0.57499,0.59821,0.42524,1.25426,1.64397,0.01706,0.00230193,0.00076731,0.00230193,0.00076731,0.00230193,0.00076731,0.00230193,0.00076731
60,3054.72,1.05094,0.82968,0.01059,0.65544,0.5562,0.59688,0.42642,1.24585,1.64785,0.01695,0.00227983,0.000759944,0.00227983,0.000759944,0.00227983,0.000759944,0.00227983,0.000759944
61,3105.36,1.04294,0.80819,0.01062,0.62687,0.54724,0.59541,0.42068,1.25849,1.6449,0.01708,0.0022575,0.0007525,0.0022575,0.0007525,0.0022575,0.0007525,0.0022575,0.0007525
62,3155.52,1.03979,0.7992,0.01079,0.6262,0.55413,0.59155,0.42585,1.25717,1.63105,0.01697,0.00223494,0.000744981,0.00223494,0.000744981,0.00223494,0.000744981,0.00223494,0.000744981
63,3206.91,1.03461,0.78908,0.01051,0.67182,0.55766,0.60737,0.43344,1.26344,1.62442,0.01729,0.00221217,0.000737388,0.00221217,0.000737388,0.00221217,0.000737388,0.00221217,0.000737388
64,3257.79,1.04463,0.80487,0.01042,0.61945,0.57338,0.59832,0.43174,1.25307,1.60968,0.01701,0.00218918,0.000729725,0.00218918,0.000729725,0.00218918,0.000729725,0.00218918,0.000729725
65,3308.65,1.01012,0.76862,0.01024,0.66302,0.52827,0.58923,0.42648,1.26864,1.62563,0.01712,0.00216598,0.000721994,0.00216598,0.000721994,0.00216598,0.000721994,0.00216598,0.000721994
66,3359.67,1.00676,0.76708,0.01028,0.60755,0.5812,0.59683,0.43015,1.25538,1.63561,0.01712,0.00214259,0.000714196,0.00214259,0.000714196,0.00214259,0.000714196,0.00214259,0.000714196
67,3409.65,1.02318,0.77243,0.01044,0.60613,0.59637,0.60588,0.43473,1.26225,1.60108,0.01732,0.002119,0.000706335,0.002119,0.000706335,0.002119,0.000706335,0.002119,0.000706335
68,3459.69,1.01761,0.7585,0.01026,0.61227,0.5983,0.61136,0.43903,1.25399,1.56996,0.01698,0.00209524,0.000698412,0.00209524,0.000698412,0.00209524,0.000698412,0.00209524,0.000698412
69,3509.83,1.01631,0.75449,0.01004,0.6073,0.59065,0.60418,0.43336,1.25966,1.60583,0.01711,0.00207129,0.00069043,0.00207129,0.00069043,0.00207129,0.00069043,0.00207129,0.00069043
70,3560.76,1.01644,0.75146,0.01027,0.64842,0.57333,0.61276,0.4389,1.26794,1.59251,0.01728,0.00204718,0.000682392,0.00204718,0.000682392,0.00204718,0.000682392,0.00204718,0.000682392
71,3611.35,1.01171,0.75284,0.01007,0.64167,0.56052,0.61239,0.43749,1.27149,1.63451,0.01747,0.0020229,0.0006743,0.0020229,0.0006743,0.0020229,0.0006743,0.0020229,0.0006743
72,3663.04,1.00327,0.75518,0.01015,0.62566,0.58255,0.60075,0.43017,1.25656,1.64378,0.01699,0.00199847,0.000666156,0.00199847,0.000666156,0.00199847,0.000666156,0.00199847,0.000666156
73,3713.42,0.98881,0.74708,0.00995,0.68644,0.53749,0.60805,0.436,1.24823,1.72278,0.01688,0.00197389,0.000657963,0.00197389,0.000657963,0.00197389,0.000657963,0.00197389,0.000657963
74,3763.49,0.99943,0.73837,0.00981,0.62966,0.57309,0.60222,0.43145,1.24898,1.69425,0.01691,0.00194917,0.000649724,0.00194917,0.000649724,0.00194917,0.000649724,0.00194917,0.000649724
75,3813.35,0.99823,0.72698,0.00988,0.60995,0.55917,0.59075,0.42129,1.24529,1.67407,0.01694,0.00192432,0.00064144,0.00192432,0.00064144,0.00192432,0.00064144,0.00192432,0.00064144
76,3863.96,0.99102,0.73596,0.00984,0.66716,0.52701,0.59307,0.42243,1.24256,1.72036,0.01666,0.00189935,0.000633115,0.00189935,0.000633115,0.00189935,0.000633115,0.00189935,0.000633115
77,3914.66,0.98534,0.7164,0.00988,0.62753,0.57514,0.60612,0.43271,1.25607,1.6659,0.01684,0.00187425,0.000624751,0.00187425,0.000624751,0.00187425,0.000624751,0.00187425,0.000624751
78,3965.13,0.98238,0.73352,0.00972,0.65897,0.57594,0.60169,0.43014,1.25269,1.66363,0.01693,0.00184905,0.000616351,0.00184905,0.000616351,0.00184905,0.000616351,0.00184905,0.000616351
79,4015.21,0.98857,0.70857,0.00946,0.6417,0.54396,0.59935,0.43264,1.24576,1.71179,0.01663,0.00182375,0.000607916,0.00182375,0.000607916,0.00182375,0.000607916,0.00182375,0.000607916
80,4065.33,0.97769,0.7125,0.00994,0.59442,0.5826,0.59491,0.4303,1.25672,1.73771,0.01695,0.00179835,0.00059945,0.00179835,0.00059945,0.00179835,0.00059945,0.00179835,0.00059945
81,4115.73,0.97243,0.70359,0.00955,0.63134,0.55614,0.59184,0.42623,1.24356,1.75969,0.01668,0.00177287,0.000590956,0.00177287,0.000590956,0.00177287,0.000590956,0.00177287,0.000590956
82,4166.07,0.97891,0.70864,0.00964,0.62951,0.55054,0.59234,0.42735,1.25442,1.76608,0.01688,0.00174731,0.000582435,0.00174731,0.000582435,0.00174731,0.000582435,0.00174731,0.000582435
83,4217.03,0.97096,0.69669,0.00966,0.65854,0.54824,0.60146,0.4359,1.25849,1.70887,0.01702,0.00172167,0.000573891,0.00172167,0.000573891,0.00172167,0.000573891,0.00172167,0.000573891
84,4267.11,0.96593,0.68864,0.00965,0.63199,0.56303,0.59372,0.42968,1.25186,1.72319,0.01692,0.00169598,0.000565325,0.00169598,0.000565325,0.00169598,0.000565325,0.00169598,0.000565325
85,4317.27,0.94413,0.6822,0.00965,0.69187,0.52426,0.60128,0.43246,1.25085,1.76384,0.01691,0.00167022,0.000556742,0.00167022,0.000556742,0.00167022,0.000556742,0.00167022,0.000556742
86,4367.88,0.96522,0.69753,0.00944,0.65387,0.54897,0.6036,0.43244,1.25664,1.6921,0.01696,0.00164443,0.000548142,0.00164443,0.000548142,0.00164443,0.000548142,0.00164443,0.000548142
87,4418.41,0.96435,0.68537,0.00943,0.62335,0.57202,0.60464,0.44007,1.26332,1.74474,0.01705,0.00161859,0.000539529,0.00161859,0.000539529,0.00161859,0.000539529,0.00161859,0.000539529
88,4468.74,0.96147,0.69134,0.00957,0.65768,0.56455,0.6104,0.43517,1.26184,1.73499,0.01712,0.00159272,0.000530906,0.00159272,0.000530906,0.00159272,0.000530906,0.00159272,0.000530906
89,4518.84,0.95281,0.68964,0.00944,0.62159,0.54342,0.5944,0.4273,1.25324,1.76098,0.01699,0.00156683,0.000522275,0.00156683,0.000522275,0.00156683,0.000522275,0.00156683,0.000522275
90,4569.53,0.946,0.68027,0.0094,0.62693,0.55877,0.59287,0.42728,1.26031,1.78758,0.01709,0.00154092,0.000513639,0.00154092,0.000513639,0.00154092,0.000513639,0.00154092,0.000513639
91,4620.64,0.95064,0.66999,0.00933,0.64227,0.57767,0.60277,0.42907,1.25995,1.7403,0.01713,0.001515,0.000505,0.001515,0.000505,0.001515,0.000505,0.001515,0.000505
92,4670.59,0.94058,0.66766,0.00927,0.64902,0.555,0.59847,0.43541,1.25232,1.80314,0.01687,0.00148908,0.000496361,0.00148908,0.000496361,0.00148908,0.000496361,0.00148908,0.000496361
